'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN AIRPORT Victoria for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN AIRPORT,01/04/2015,6.6,0.0, ,31.9,13.6,90,17,5.62,12.91
HOPETOUN AIRPORT,02/04/2015,5.0,0.2, ,22.0,10.5,92,24,6.76,18.57
HOPETOUN AIRPORT,03/04/2015,4.3,0.0, ,22.2,6.7,69,23,3.82,18.16
HOPETOUN AIRPORT,04/04/2015,4.0,0.0, ,24.8,7.8,87,26,3.07,17.51
HOPETOUN AIRPORT,05/04/2015,3.7,0.0, ,23.1,8.1,76,36,3.45,15.33
HOPETOUN AIRPORT,06/04/2015,1.6,0.0, ,14.8,6.2,96,61,2.67,7.70
HOPETOUN AIRPORT,07/04/2015,2.5,8.2, ,17.2,8.2,97,59,7.59,10.55
HOPETOUN AIRPORT,08/04/2015,3.5,0.0, ,20.9,8.7,88,41,5.05,13.98
HOPETOUN AIRPORT,09/04/2015,3.6,0.0, ,20.9,8.4,86,36,4.19,16.79
HOPETOUN AIRPORT,10/04/2015,3.8,0.0, ,24.2,8.2,92,29,3.34,16.67
HOPETOUN AIRPORT,11/04/2015,3.3,0.0, ,25.5,8.6,78,30,2.08,16.09
HOPETOUN AIRPORT,12/04/2015,3.0,0.0, ,22.9,13.6,77,40,3.41,7.41
HOPETOUN AIRPORT,13/04/2015,3.9,0.0, ,26.4,10.4,71,29,2.94,15.04
HOPETOUN AIRPORT,14/04/2015,5.1,0.0, ,30.2,13.6,71,19,3.80,12.77
HOPETOUN AIRPORT,15/04/2015,4.4,0.6, ,28.2,13.7,86,39,4.33,15.62
HOPETOUN AIRPORT,16/04/2015,2.0,0.2, ,19.4,11.5,93,49,2.80,5.29
HOPETOUN AIRPORT,17/04/2015,1.0,2.0, ,14.8,11.4,99,75,2.78,2.81
HOPETOUN AIRPORT,18/04/2015,3.2,7.0, ,21.8,12.3,99,51,5.94,14.26
HOPETOUN AIRPORT,19/04/2015,3.1,1.0, ,16.4,6.2,91,35,5.59,14.47
HOPETOUN AIRPORT,20/04/2015,3.4,0.2, ,17.9,4.0,85,37,5.65,15.37
HOPETOUN AIRPORT,21/04/2015,3.6,0.0, ,20.5,5.8,87,37,5.40,14.88
HOPETOUN AIRPORT,22/04/2015,3.5,0.0, ,22.9,6.5,90,40,4.41,14.54
HOPETOUN AIRPORT,23/04/2015,2.5,0.0, ,21.1,8.5,96,50,3.54,11.17
HOPETOUN AIRPORT,24/04/2015,2.8,0.0, ,21.7,9.8,95,46,4.39,8.89
HOPETOUN AIRPORT,25/04/2015,2.2,1.6, ,17.9,5.1,99,50,3.70,12.17
HOPETOUN AIRPORT,26/04/2015, ,0.2, , ,7.4, , , ,9.72
HOPETOUN AIRPORT,29/04/2015, , , , , , , , ,12.66
HOPETOUN AIRPORT,30/04/2015, , , ,23.0, , , , ,12.89
Totals:,,85.6,21.2, ,,,,,, 
