'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CORNER INLET (YANAKIE) Victoria for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CORNER INLET (YANAKIE),01/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),02/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),03/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),04/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),05/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),06/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),07/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),08/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),09/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),10/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),11/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),12/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),13/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),14/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),15/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),16/01/2013, , , , , , , , , 
CORNER INLET (YANAKIE),17/01/2013, , , , , , , , ,21.26
CORNER INLET (YANAKIE),18/01/2013, , , ,24.1, , , , ,17.23
CORNER INLET (YANAKIE),19/01/2013,5.3,0.2, ,21.0,14.6,86,45,5.12,28.76
CORNER INLET (YANAKIE),20/01/2013,5.0,0.0, ,22.8,9.6,94,49,2.76,30.01
CORNER INLET (YANAKIE),21/01/2013,4.8,0.0, ,23.5,16.3,90,67,3.54,27.66
CORNER INLET (YANAKIE),22/01/2013,5.5,0.0, ,23.4,13.1,88,46,5.20,28.53
CORNER INLET (YANAKIE),23/01/2013,5.5,0.0, ,22.9,13.6,84,47,4.84,29.11
CORNER INLET (YANAKIE),24/01/2013,5.8,0.0, ,28.7,17.2,92,66,7.59,29.30
CORNER INLET (YANAKIE),25/01/2013,4.9,0.0, ,24.4,19.8,95,40,6.55,16.18
CORNER INLET (YANAKIE),26/01/2013,3.4,0.0, ,22.8,15.9,98,48,3.51,12.82
CORNER INLET (YANAKIE),27/01/2013,4.1,8.2, ,20.8,14.3,98,66,3.49,25.77
CORNER INLET (YANAKIE),28/01/2013,4.4,0.0, ,23.5,10.3,99,59,3.31,25.58
CORNER INLET (YANAKIE),29/01/2013,5.0,0.0, ,20.2,14.4,88,48,7.60,25.40
CORNER INLET (YANAKIE),30/01/2013,4.8,0.0, ,23.1,10.4,83,46,4.25,23.50
CORNER INLET (YANAKIE),31/01/2013,3.7,0.0, ,21.9,10.4,96,59,4.59,19.47
Totals:,,62.2,8.4, ,,,,,, 
