'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for MOUNT MOORNAPA Victoria for February 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 March 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
MOUNT MOORNAPA,01/02/2019,4.7,0.0, ,23.3,8.9,87,38,1.32,28.81
MOUNT MOORNAPA,02/02/2019,5.8,0.0, ,33.3,12.1,86,35,2.02,25.47
MOUNT MOORNAPA,03/02/2019, , , , , , , , ,23.16
MOUNT MOORNAPA,04/02/2019, , , ,27.6, , , , ,18.36
MOUNT MOORNAPA,05/02/2019,0.7, , ,18.7,15.7,100,100,1.64,2.43
MOUNT MOORNAPA,06/02/2019,3.8,5.0, ,26.7,16.5,100,70,1.35,20.08
MOUNT MOORNAPA,07/02/2019,2.4,0.6, ,27.7,17.2,100,66,1.55,9.72
MOUNT MOORNAPA,08/02/2019,1.3,1.0, ,20.8,16.2,100,75,1.17,4.65
MOUNT MOORNAPA,09/02/2019,3.0,0.8, ,20.3,11.8,100,49,2.76,14.12
MOUNT MOORNAPA,10/02/2019,4.4,3.0, ,23.4,9.7,80,47,1.75,25.45
MOUNT MOORNAPA,11/02/2019,4.6,0.2, ,29.4,12.1,83,30,1.55,21.21
MOUNT MOORNAPA,12/02/2019,4.7,0.0, ,25.3,16.7,100,25,4.20,15.50
MOUNT MOORNAPA,13/02/2019,3.3,7.8, ,17.2,7.8,78,45,2.99,17.13
MOUNT MOORNAPA,14/02/2019,4.6,0.2, ,23.1,8.2,84,37,1.86,26.84
MOUNT MOORNAPA,15/02/2019,4.6,0.0, ,25.8,11.1,97,42,1.73,25.77
MOUNT MOORNAPA,16/02/2019,4.4,0.0, ,30.7,13.3,96,36,1.48,20.30
MOUNT MOORNAPA,17/02/2019,3.6,0.0, ,26.4,15.1,96,50,1.57,17.47
MOUNT MOORNAPA,18/02/2019,4.7,0.0, ,31.0,17.5,86,24,3.34,9.99
MOUNT MOORNAPA,19/02/2019,3.5,0.0, ,21.9,11.7,81,40,1.39,18.88
MOUNT MOORNAPA,20/02/2019,4.2,0.0, ,23.0,10.9,83,39,1.26,25.10
MOUNT MOORNAPA,21/02/2019,3.8,0.0, ,22.0,11.6,91,43,1.13,22.93
MOUNT MOORNAPA,22/02/2019,4.1,0.0, ,24.3,11.8,95,35,1.15,23.66
MOUNT MOORNAPA,23/02/2019,4.3,0.0, ,23.4,11.4,94,45,1.91,25.07
MOUNT MOORNAPA,24/02/2019,4.7,0.0, ,26.8,11.0,94,32,1.95,24.89
MOUNT MOORNAPA,25/02/2019,5.6,0.0, ,32.3,13.9,86,20,2.05,24.68
MOUNT MOORNAPA,26/02/2019,5.9,0.0, ,31.2,19.1,92,22,2.93,23.76
MOUNT MOORNAPA,27/02/2019,4.4,0.0, ,26.3,12.6,98,44,1.89,24.21
MOUNT MOORNAPA,28/02/2019,5.1,0.0, ,34.2,15.1,84,25,2.60,15.54
Totals:,,106.2,18.6, ,,,,,, 
