'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EDENHOPE AIRPORT Victoria for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EDENHOPE AIRPORT,01/02/2009,9.8,0.8, ,38.8,20.7,69,19,5.19,25.81
EDENHOPE AIRPORT,02/02/2009,8.1,0.2, ,34.5,19.8,82,27,5.01,25.77
EDENHOPE AIRPORT,03/02/2009,8.2,0.0, ,34.5,17.4,86,27,4.47,30.18
EDENHOPE AIRPORT,04/02/2009,7.7,0.0, ,37.4,14.2,78,16,2.47,30.36
EDENHOPE AIRPORT,05/02/2009,7.4,0.0, ,32.2,15.2,84,31,3.94,30.55
EDENHOPE AIRPORT,06/02/2009,7.8,0.0, ,37.8,13.7,91,19,3.27,26.27
EDENHOPE AIRPORT,07/02/2009,14.6,0.0, ,44.9,19.0,68,8,7.50,27.44
EDENHOPE AIRPORT,08/02/2009,5.6,0.0, ,24.1,15.6,82,30,4.77,22.38
EDENHOPE AIRPORT,09/02/2009,5.6,0.0, ,22.0,7.2,84,28,4.69,28.81
EDENHOPE AIRPORT,10/02/2009, ,0.0, , ,8.6,84,36,5.23,21.63
EDENHOPE AIRPORT,11/02/2009, , , ,19.0, ,76,42,6.02,22.76
EDENHOPE AIRPORT,12/02/2009,6.4,0.0, ,24.2,9.3,87,30,6.59,28.66
EDENHOPE AIRPORT,13/02/2009,7.0,0.0, ,27.9,8.5,79,21,4.37,29.74
EDENHOPE AIRPORT,14/02/2009,7.0,0.0, ,30.2,11.3,78,17,3.68,28.12
EDENHOPE AIRPORT,15/02/2009,6.2,0.0, ,27.2,14.2,89,36,5.85,24.93
EDENHOPE AIRPORT,16/02/2009,6.8,0.0, ,31.4,14.2,84,23,3.40,27.99
EDENHOPE AIRPORT,17/02/2009, ,0.0, ,33.7,15.0,68,16,3.49, 
EDENHOPE AIRPORT,18/02/2009, ,0.0, ,33.0,16.8,53,18,3.05, 
EDENHOPE AIRPORT,19/02/2009,8.0,0.0, ,34.5,14.6,75,19,4.71,22.85
EDENHOPE AIRPORT,20/02/2009,5.2,0.0, ,24.4,14.0,77,38,4.81,21.09
EDENHOPE AIRPORT,21/02/2009, ,0.0, ,24.5,13.7, , , ,21.86
EDENHOPE AIRPORT,22/02/2009, ,0.0, ,29.1,8.9, , , ,28.25
EDENHOPE AIRPORT,23/02/2009,7.2,0.0, ,29.7,11.4,77,23,5.10,26.37
EDENHOPE AIRPORT,24/02/2009,5.8,0.0, ,24.6,7.3,87,29,4.85,27.64
EDENHOPE AIRPORT,25/02/2009,6.0,0.0, ,28.5,4.9,89,24,3.39,26.79
EDENHOPE AIRPORT,26/02/2009,6.8,0.0, ,33.2,10.5,89,12,3.18,24.65
EDENHOPE AIRPORT,27/02/2009,10.0,0.0, ,37.3,16.2,80,8,5.79,24.95
EDENHOPE AIRPORT,28/02/2009,5.4,0.0, ,24.4,13.3,89,33,4.57,25.68
Totals:,,162.6,1, ,,,,,, 
