FID,FireName,FireNo,Label,StartDate,EndDate,AreaHa,PerimeterM,Verdate,Type,Season,ID,Year,Year_Con,Shape__Area,Shape__Length
1, , ,1968-69 Prescribed Burn,1968/10/01 00:00:00+00,1970/01/01 00:00:00+00,2.18476976,1548.96066575,26/03/2020,Prescribed Burn,1968-69,0,1968,1968/01/01 00:00:00+00,21868.7578125,1549.70395587995
2, , ,1970-71 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,299.98546431,8615.63712029,26/03/2020,Prescribed Burn,1970-71,1,1970,1970/01/01 00:00:00+00,2996520.09765625,8610.85139528159
3, ,70/161,1970-71 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,309.02564458,20657.6339931,26/03/2020,Prescribed Burn,1970-71,2,1970,1970/01/01 00:00:00+00,3085905.95703125,20643.0912963002
4, ,70/161,1970-71 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,316.10442734,20353.2317513,26/03/2020,Prescribed Burn,1970-71,3,1970,1970/01/01 00:00:00+00,3156677.0625,20339.1655551079
5, ,70/160,1970-71 Prescribed Burn,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,28.48408812,2695.16079266,26/03/2020,Prescribed Burn,1970-71,4,1970,1970/01/01 00:00:00+00,284429.62890625,2693.21479334705
6, , ,1970-71 Prescribed Burn,1970/07/01 00:00:00+00,1970/01/01 00:00:00+00,13.60000154,1999.48770109,26/03/2020,Prescribed Burn,1970-71,5,1970,1970/01/01 00:00:00+00,136131.01953125,2000.45101436452
7, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,634.46569613,39137.4016985,26/03/2020,Prescribed Burn,1971-72,6,1971,1971/01/01 00:00:00+00,6334498.58203125,39106.068981359
8, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,58.99437144,5312.21015186,26/03/2020,Prescribed Burn,1971-72,7,1971,1971/01/01 00:00:00+00,589008.20703125,5307.99617928135
9, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,383.15515433,20564.6027309,26/03/2020,Prescribed Burn,1971-72,8,1971,1971/01/01 00:00:00+00,3825474.71484375,20548.291858485
10, ,0,1971-72 Prescribed Burn,1971/07/01 00:00:00+00,1970/01/01 00:00:00+00,27.24194117,3844.2468316,26/03/2020,Prescribed Burn,1971-72,9,1971,1971/01/01 00:00:00+00,271973.18359375,3841.0972819536
