'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/06/2011, , , , , , , , , 
BREAKWATER (GEELONG RACECOURSE),02/06/2011, , , ,20.0, , , , ,10.60
BREAKWATER (GEELONG RACECOURSE),03/06/2011, ,0.2, ,18.1,10.0, , , ,7.67
BREAKWATER (GEELONG RACECOURSE),04/06/2011, ,0.0, ,16.3,9.9, , , ,9.76
BREAKWATER (GEELONG RACECOURSE),05/06/2011, ,0.0, ,16.7,6.5, , , ,10.70
BREAKWATER (GEELONG RACECOURSE),06/06/2011, ,4.2, ,13.1,4.2, , , ,9.80
BREAKWATER (GEELONG RACECOURSE),07/06/2011,1.5,0.2, ,10.9,6.2,88,55,5.04,6.73
BREAKWATER (GEELONG RACECOURSE),08/06/2011,1.1,5.8, ,11.8,4.6,87,75,5.45,8.85
BREAKWATER (GEELONG RACECOURSE),09/06/2011,1.6,3.4, ,13.8,5.5,86,66,6.69,6.66
BREAKWATER (GEELONG RACECOURSE),10/06/2011,1.1,3.0, ,13.9,10.6,94,74,4.65,7.85
BREAKWATER (GEELONG RACECOURSE),11/06/2011,1.0,2.2, ,15.3,8.1,93,70,2.94,9.48
BREAKWATER (GEELONG RACECOURSE),12/06/2011,0.9,1.2, ,13.2,9.1,94,75,3.39,6.32
BREAKWATER (GEELONG RACECOURSE),13/06/2011,0.9,0.0, ,14.4,7.8,93,71,2.70,8.16
BREAKWATER (GEELONG RACECOURSE),14/06/2011,0.7,0.0, ,12.9,6.8,96,68,1.38,5.90
BREAKWATER (GEELONG RACECOURSE),15/06/2011,0.5,0.0, ,12.0,3.2,99,71,0.92,8.36
BREAKWATER (GEELONG RACECOURSE),16/06/2011,0.7,0.0, ,13.0,1.5,98,66,1.66,7.62
BREAKWATER (GEELONG RACECOURSE),17/06/2011,1.5,0.4, ,13.7,5.9,87,57,4.62,10.05
BREAKWATER (GEELONG RACECOURSE),18/06/2011,1.1,0.0, ,16.6,8.4,95,70,3.75,8.42
BREAKWATER (GEELONG RACECOURSE),19/06/2011,1.5,0.2, ,16.8,7.8,95,61,4.39,9.06
BREAKWATER (GEELONG RACECOURSE),20/06/2011,2.2,2.8, ,16.8,8.2,91,52,6.62,7.28
BREAKWATER (GEELONG RACECOURSE),21/06/2011,1.3,4.8, ,10.5,7.1,92,63,6.40,9.04
BREAKWATER (GEELONG RACECOURSE),22/06/2011,1.2,1.6, ,12.9,6.5,92,69,5.56,7.68
BREAKWATER (GEELONG RACECOURSE),23/06/2011,1.1,1.6, ,15.3,8.0,95,65,3.36,7.80
BREAKWATER (GEELONG RACECOURSE),24/06/2011,1.2,0.4, ,17.5,8.8,93,60,2.50,8.96
BREAKWATER (GEELONG RACECOURSE),25/06/2011,1.2,0.6, ,16.9,8.7,96,57,2.70,9.11
BREAKWATER (GEELONG RACECOURSE),26/06/2011,1.8,0.0, ,17.6,4.7,95,46,3.67,8.43
BREAKWATER (GEELONG RACECOURSE),27/06/2011,1.0,0.0, ,16.4,7.5,97,62,2.11,10.15
BREAKWATER (GEELONG RACECOURSE),28/06/2011,0.6,0.0, ,13.4,3.6,99,70,1.01,10.11
BREAKWATER (GEELONG RACECOURSE),29/06/2011,0.8,0.2, ,15.4,2.6,99,58,1.46,9.85
BREAKWATER (GEELONG RACECOURSE),30/06/2011,1.4,0.0, ,17.4,6.7,88,55,2.97,10.08
Totals:,,27.9,32.8, ,,,,,, 
