'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for February 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 March 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/02/2021,2.8,0.0, ,24.9,10.9,100,59,2.83,11.19
BAIRNSDALE AIRPORT,02/02/2021,4.9,2.8, ,22.1,12.6,83,47,5.17,24.08
BAIRNSDALE AIRPORT,03/02/2021,2.4,0.0, ,18.4,10.1,94,62,2.78,11.09
BAIRNSDALE AIRPORT,04/02/2021,5.2,0.0, ,29.3,9.5,100,44,3.23,23.98
BAIRNSDALE AIRPORT,05/02/2021,2.7,0.6, ,27.3,16.7,100,50,3.76,3.96
BAIRNSDALE AIRPORT,06/02/2021,6.2,26.2, ,28.8,17.5,100,33,4.87,24.65
BAIRNSDALE AIRPORT,07/02/2021,5.1,0.0, ,23.9,14.7,93,49,6.09,24.52
BAIRNSDALE AIRPORT,08/02/2021,4.9,0.0, ,23.2,10.4,85,47,4.24,25.57
BAIRNSDALE AIRPORT,09/02/2021,4.5,0.0, ,22.0,9.4,98,50,5.62,24.31
BAIRNSDALE AIRPORT,10/02/2021,4.9,0.0, ,22.7,14.9,88,56,4.72,27.23
BAIRNSDALE AIRPORT,11/02/2021,4.7,0.0, ,30.0,11.7,100,50,2.63,21.44
BAIRNSDALE AIRPORT,12/02/2021,1.7,1.0, ,21.1,18.4,99,59,3.01,2.62
BAIRNSDALE AIRPORT,13/02/2021,2.8,0.6, ,21.2,14.7,100,57,3.57,12.04
BAIRNSDALE AIRPORT,14/02/2021,2.8,0.0, ,21.0,13.3,96,60,2.88,12.79
BAIRNSDALE AIRPORT,15/02/2021,4.7,0.0, ,24.5,11.5,99,47,4.70,22.53
BAIRNSDALE AIRPORT,16/02/2021,4.2,0.0, ,24.4,9.7,99,59,4.46,22.78
BAIRNSDALE AIRPORT,17/02/2021,4.7,0.0, ,25.8,9.3,100,55,3.63,26.19
BAIRNSDALE AIRPORT,18/02/2021,5.0,0.0, ,27.8,8.9,100,41,2.65,26.09
BAIRNSDALE AIRPORT,19/02/2021,5.8,0.0, ,30.8,12.4,100,34,2.96,25.89
BAIRNSDALE AIRPORT,20/02/2021, ,0.0, , ,15.7, , , ,21.39
BAIRNSDALE AIRPORT,22/02/2021, ,0.4, ,23.2,14.8, , , ,12.32
BAIRNSDALE AIRPORT,23/02/2021, ,0.0, ,19.1,9.6, , , ,13.54
BAIRNSDALE AIRPORT,24/02/2021,3.9, , ,21.0,9.0,94,45,3.29,21.72
BAIRNSDALE AIRPORT,25/02/2021,4.9,0.0, ,25.1,9.4,97,38,4.14,23.26
BAIRNSDALE AIRPORT,26/02/2021,4.7,0.4, ,22.1,10.0,97,37,4.66,23.59
BAIRNSDALE AIRPORT,27/02/2021,2.1,0.0, ,20.6,9.0,98,64,2.55,8.98
BAIRNSDALE AIRPORT,28/02/2021,4.1,0.0, ,23.8,10.8,100,53,3.33,23.37
Totals:,,99.7,32, ,,,,,, 
